siempre	1012426,ADVERB
perdido	97595,ADJECTIVE,PARTICIPLE
negocio	97290,NOUN,VERB,SINGULAR
secreto	93794,ADJECTIVE,NOUN,VERB,SINGULAR
entorno	93760,NOUN,VERB,SINGULAR
parecer	93342,VERB,NOUN,SINGULAR
defensa	92972,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
recibir	92532,VERB
caballo	92256,NOUN,SINGULAR
llamada	91448,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
batalla	90252,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
lectura	90162,NOUN,SINGULAR
central	90093,ADJECTIVE,NOUN,SINGULAR
derecha	89672,NOUN,ADJECTIVE,SINGULAR
octubre	89619,NOUN,SINGULAR
respeto	89437,NOUN,VERB,SINGULAR
oficial	89348,ADJECTIVE,NOUN,SINGULAR
cumplir	88564,VERB
mayores	87238,ADJECTIVE,NOUN,PLURAL
laboral	87214,ADJECTIVE
oficina	86110,NOUN,SINGULAR
cabello	85876,NOUN,SINGULAR
muestra	82789,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
antiguo	82552,ADJECTIVE,VERB
belleza	82206,NOUN,SINGULAR
noticia	80890,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
consumo	80205,NOUN,VERB,SINGULAR
militar	79605,ADJECTIVE,NOUN,VERB,SINGULAR
abierta	78733,ADJECTIVE,PARTICIPLE
mejorar	78727,VERB
asiento	77939,NOUN,VERB,SINGULAR
maestro	77762,NOUN,ADJECTIVE,SINGULAR
aumento	77619,NOUN,VERB,SINGULAR
terreno	77580,ADJECTIVE,NOUN,SINGULAR
periodo	77036,NOUN,SINGULAR
comprar	76867,VERB
sentado	76386,ADJECTIVE,PARTICIPLE
recurso	75745,NOUN,SINGULAR
aceptar	75401,VERB
enemigo	73933,ADJECTIVE,NOUN,SINGULAR
directa	73591,NOUN,ADJECTIVE,SINGULAR
pasillo	73246,NOUN,SINGULAR
impacto	72319,NOUN,VERB,SINGULAR
febrero	72201,NOUN,SINGULAR
preciso	71859,ADJECTIVE,VERB
intento	71608,NOUN,VERB,SINGULAR
cliente	71314,NOUN,SINGULAR
inicial	70031,ADJECTIVE,NOUN,SINGULAR
volumen	69427,NOUN,SINGULAR
escapar	68814,VERB
alcance	68554,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
demanda	68493,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
fuertes	68317,ADJECTIVE,NOUN,PLURAL
locales	67773,ADJECTIVE,NOUN,PLURAL
miembro	67604,NOUN,SINGULAR
popular	67025,ADJECTIVE,NOUN,SINGULAR
extremo	66731,ADJECTIVE,NOUN,VERB,SINGULAR
llegada	66727,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
querido	66322,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
capaces	66051,ADJECTIVE
informe	64802,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
caminar	64522,VERB
aliento	63987,NOUN,VERB,SINGULAR
regreso	63907,NOUN,VERB,SINGULAR
hablado	63828,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
hermosa	63534,ADJECTIVE
similar	63523,ADJECTIVE
colegio	62954,NOUN,VERB,SINGULAR
privado	62013,ADJECTIVE,PARTICIPLE
amistad	61996,NOUN,VERB,IMP,INFLECTED_FORM,SINGULAR
finales	61622,ADJECTIVE,NOUN,VERB,IMP,INFLECTED_FORM,PLURAL
menores	60838,ADJECTIVE,NOUN,PLURAL
directo	60828,ADJECTIVE,NOUN,SINGULAR
detalle	60150,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
muertos	60088,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
partida	59843,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
palacio	58900,NOUN,SINGULAR
pintura	58706,NOUN,SINGULAR
entidad	58575,NOUN,SINGULAR
mostrar	58441,VERB
reforma	58121,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
planeta	57890,NOUN,SINGULAR
dominio	57858,NOUN,SINGULAR
permiso	57710,NOUN,INTERJECTION,VERB,SINGULAR
abierto	57269,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
esencia	57240,NOUN,SINGULAR
olvidar	56767,VERB
guardia	55931,NOUN,SINGULAR
mundial	54968,ADJECTIVE,NOUN,SINGULAR
repente	54945,NOUN,SINGULAR
escrito	54203,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
fortuna	54035,NOUN,SINGULAR
enfoque	53628,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
cristal	53212,NOUN,SINGULAR
consejo	52993,NOUN,VERB,SINGULAR
revista	52761,NOUN,PARTICIPLE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
cintura	52495,NOUN,SINGULAR
esquina	52462,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
comunes	52340,ADJECTIVE,NOUN,PLURAL
tercera	52215,NOUN,ADJECTIVE,SINGULAR
soledad	52172,NOUN,SINGULAR
sentada	51827,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
interna	51769,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
aplicar	51592,VERB
privada	51523,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
logrado	51323,ADJECTIVE,PARTICIPLE
puestos	51316,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
vecinos	51299,ADJECTIVE,NOUN,PLURAL
riqueza	51272,NOUN,SINGULAR
reducir	51120,VERB
digital	50639,ADJECTIVE,NOUN,SINGULAR
orgullo	50492,NOUN,SINGULAR
adultos	50483,ADJECTIVE,NOUN,PLURAL
impulso	50338,NOUN,VERB,SINGULAR
sombras	50048,ADJECTIVE,NOUN,VERB,PLURAL
generar	49190,VERB
incapaz	48906,ADJECTIVE
interno	48779,ADJECTIVE,NOUN,VERB,SINGULAR
ofrecer	48695,VERB
botella	48565,NOUN,SINGULAR
amenaza	48249,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
alcohol	48077,NOUN,SINGULAR
mejilla	47904,NOUN,SINGULAR
abogado	47807,NOUN,PARTICIPLE,SINGULAR
contado	47565,ADJECTIVE,PARTICIPLE
postura	47526,NOUN,SINGULAR
contigo	47136,ADVERB
columna	47127,NOUN,SINGULAR
artista	47029,NOUN,SINGULAR
paisaje	46724,NOUN,SINGULAR
decidir	46351,VERB
hermoso	46148,ADJECTIVE
cerveza	45896,NOUN,SINGULAR
antigua	44673,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
intenso	44483,ADJECTIVE
visitar	44302,VERB
pobreza	43920,NOUN,SINGULAR
recoger	43725,VERB
superar	43260,VERB
remedio	43056,NOUN,VERB,SINGULAR
moderna	43052,ADJECTIVE
cercano	42836,ADJECTIVE
combate	42761,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
anciano	42757,ADJECTIVE,NOUN,SINGULAR
propios	42570,ADJECTIVE
fracaso	42306,NOUN,VERB,SINGULAR
castigo	42117,NOUN,VERB,SINGULAR
rapidez	41048,NOUN,SINGULAR
acceder	40580,VERB
existir	40527,VERB
tercero	40510,ADJECTIVE,NOUN,SINGULAR
promesa	40214,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
ventaja	40199,NOUN,SINGULAR
talento	39844,NOUN,SINGULAR
blancas	39702,ADJECTIVE
seguido	39462,ADVERB,ADJECTIVE,PARTICIPLE
enfermo	39423,ADJECTIVE,NOUN,VERB,SINGULAR
jornada	39314,NOUN,SINGULAR
ingreso	38905,NOUN,VERB,SINGULAR
domingo	38801,NOUN,SINGULAR
sujetos	38615,ADJECTIVE,NOUN,PLURAL
vistazo	38501,NOUN,SINGULAR
definir	38464,VERB
certeza	38029,NOUN,SINGULAR
confiar	38018,VERB
soldado	38011,NOUN,PARTICIPLE,SINGULAR
moderno	37954,ADJECTIVE
estatal	37828,ADJECTIVE
heridas	37764,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
suspiro	37498,NOUN,VERB,SINGULAR
aparato	37294,NOUN,VERB,SINGULAR
testigo	37148,NOUN,SINGULAR
enormes	37001,ADJECTIVE
entrega	36987,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
atender	36900,VERB
comedor	36691,NOUN,SINGULAR
legales	36491,ADJECTIVE,VERB,IMP,INFLECTED_FORM
incluir	36457,VERB
felices	36359,ADJECTIVE
avanzar	36351,VERB
perdida	36196,ADJECTIVE,PARTICIPLE
musical	35782,ADJECTIVE,NOUN,SINGULAR
sufrido	35770,ADJECTIVE,PARTICIPLE
reflejo	35483,NOUN,VERB,SINGULAR
rechazo	35408,NOUN,VERB,SINGULAR
iguales	35003,ADJECTIVE,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
cerrada	34778,ADJECTIVE,PARTICIPLE
deporte	34711,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
parejas	34632,ADJECTIVE,NOUN,PLURAL
escrita	34612,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
vientre	34577,NOUN,SINGULAR
humanas	34308,ADJECTIVE,NOUN,VERB,PLURAL
intensa	34256,ADJECTIVE
querida	34230,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
guardar	34203,VERB
escolar	34147,ADJECTIVE,NOUN,VERB,SINGULAR
ejercer	33981,VERB
seguida	33827,ADJECTIVE,PARTICIPLE
civiles	33818,ADJECTIVE
afirmar	33781,VERB
parcial	33529,ADJECTIVE,NOUN,SINGULAR
coronel	33400,NOUN,SINGULAR
asesino	33377,ADJECTIVE,NOUN,VERB,SINGULAR
evaluar	33361,VERB
visible	33204,ADJECTIVE
adoptar	33136,VERB
entrado	33007,ADJECTIVE,PARTICIPLE
imperio	32843,NOUN,SINGULAR
reserva	32707,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
refugio	32688,NOUN,VERB,SINGULAR
jugador	32637,NOUN,SINGULAR
triunfo	32541,NOUN,VERB,SINGULAR
ocurrir	32419,VERB
iniciar	32200,VERB
ocultar	31950,VERB
colocar	31728,VERB
asombro	31658,NOUN,VERB,SINGULAR
acabado	31342,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
elevado	31330,ADJECTIVE,PARTICIPLE
esquema	31222,NOUN,SINGULAR
cansado	31156,ADJECTIVE,PARTICIPLE
salario	31047,NOUN,VERB,SINGULAR
curioso	30978,ADJECTIVE,NOUN,SINGULAR
tarjeta	30841,NOUN,SINGULAR
elegido	30515,NOUN,PARTICIPLE,SINGULAR
simples	30398,ADJECTIVE,NOUN,PLURAL
viernes	30382,NOUN,SINGULAR
liberal	30366,ADJECTIVE,NOUN,SINGULAR
cercana	30342,ADJECTIVE
prestar	30207,VERB
europea	30088,NOUN,ADJECTIVE,SINGULAR
ternura	29981,NOUN,SINGULAR
pistola	29957,NOUN,SINGULAR
admitir	29853,VERB
cerrado	29835,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
humedad	29752,NOUN,SINGULAR
tratado	29704,NOUN,PARTICIPLE,SINGULAR
agujero	29506,NOUN,VERB,SINGULAR
notable	29486,ADJECTIVE
activos	29481,ADJECTIVE,NOUN,PLURAL
suceder	29303,VERB
impedir	29219,VERB
usuario	29031,NOUN,SINGULAR
radical	28803,ADJECTIVE,NOUN,SINGULAR
situado	28662,ADJECTIVE,PARTICIPLE
cansada	28652,ADJECTIVE,PARTICIPLE
blancos	28555,ADJECTIVE,NOUN,PLURAL
repetir	28466,VERB
suponer	28189,VERB
terapia	28158,NOUN,SINGULAR
archivo	28130,NOUN,VERB,SINGULAR
demonio	27993,NOUN,SINGULAR
milagro	27896,NOUN,SINGULAR
enviado	27847,NOUN,PARTICIPLE,SINGULAR
morales	27811,ADJECTIVE,NOUN,VERB,IMP,INFLECTED_FORM,PLURAL
bandeja	27766,NOUN,SINGULAR
dormido	27737,ADJECTIVE,PARTICIPLE
armario	27554,NOUN,SINGULAR
externa	27443,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
piscina	27341,NOUN,SINGULAR
retrato	27208,NOUN,VERB,SINGULAR
asistir	27119,VERB
salvaje	26914,ADJECTIVE,NOUN,SINGULAR
mandato	26906,NOUN,VERB,SINGULAR
europeo	26853,ADJECTIVE,NOUN,SINGULAR
paquete	26762,NOUN,SINGULAR
terraza	26716,NOUN,SINGULAR
resumen	26619,NOUN,VERB,SINGULAR
rodilla	26430,NOUN,SINGULAR
dirigir	26369,VERB
lateral	26288,ADJECTIVE,NOUN,SINGULAR
manejar	26242,VERB
soporte	26181,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
defecto	26126,NOUN,SINGULAR
sendero	26109,NOUN,SINGULAR
costado	26045,NOUN,PARTICIPLE,SINGULAR
oscuras	25967,ADJECTIVE
consigo	25932,ADVERB,VERB
formato	25893,NOUN,SINGULAR
firmeza	25856,NOUN,SINGULAR
oscuros	25846,ADJECTIVE
celular	25842,ADJECTIVE,NOUN,SINGULAR
pescado	25779,NOUN,PARTICIPLE,SINGULAR
sagrado	25738,ADJECTIVE
valorar	25720,VERB
importe	25621,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
elevada	25580,ADJECTIVE,PARTICIPLE
mentira	25454,NOUN,SINGULAR
inmensa	25370,ADJECTIVE
abordar	25281,VERB
agencia	25218,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
derrota	25006,NOUN,PARTICIPLE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
inmenso	24927,ADJECTIVE
limpiar	24853,VERB
estable	24780,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
extrema	24762,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
alcalde	24699,NOUN,SINGULAR
detener	24665,VERB
leyenda	24537,NOUN,SINGULAR
mochila	24423,NOUN,SINGULAR
cultivo	24392,NOUN,VERB,SINGULAR
retorno	24366,NOUN,VERB,SINGULAR
situada	24333,ADJECTIVE,PARTICIPLE
externo	24104,ADJECTIVE,VERB
revisar	24096,VERB
titular	24001,ADJECTIVE,NOUN,VERB,SINGULAR
seguros	23865,ADJECTIVE,NOUN,PLURAL
ocupado	23861,ADJECTIVE,PARTICIPLE
ruptura	23777,NOUN,SINGULAR
molesta	23456,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
bandera	23418,NOUN,SINGULAR
desnuda	23388,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
lealtad	23283,NOUN,SINGULAR
turismo	23164,NOUN,SINGULAR
alemana	23075,NOUN,ADJECTIVE,SINGULAR
vestida	23021,ADJECTIVE,PARTICIPLE
arreglo	22891,NOUN,VERB,SINGULAR
envidia	22764,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
obreros	22723,ADJECTIVE,NOUN,PLURAL
validez	22718,NOUN,SINGULAR
miseria	22658,NOUN,SINGULAR
estatus	22362,NOUN,SINGULAR
humilde	22327,ADJECTIVE
escucha	22283,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
alianza	22268,NOUN,SINGULAR
condena	22245,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
anuncio	22213,NOUN,VERB,SINGULAR
bebidas	22026,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
apartar	21972,VERB
anciana	21833,NOUN,ADJECTIVE,SINGULAR
decreto	21523,NOUN,VERB,SINGULAR
vigente	21500,ADJECTIVE
aclarar	21496,VERB
trasera	21296,ADJECTIVE
emplear	21249,VERB
sincero	21214,ADJECTIVE,VERB
novedad	21144,NOUN,SINGULAR
nobleza	21085,NOUN,SINGULAR
opuesto	20984,ADJECTIVE,PARTICIPLE
aportar	20943,VERB
susurro	20939,NOUN,VERB,SINGULAR
imponer	20886,VERB
colonia	20812,NOUN,SINGULAR
furioso	20776,ADJECTIVE
cometer	20724,VERB
cuerdas	20639,ADJECTIVE,NOUN,PLURAL
dormida	20607,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
carbono	20373,NOUN,VERB,SINGULAR
estatua	20301,NOUN,SINGULAR
afectar	20187,VERB
corteza	20173,NOUN,SINGULAR
cartera	20148,NOUN,SINGULAR
manzana	20147,NOUN,SINGULAR
absurdo	20112,ADJECTIVE,NOUN,SINGULAR
ascenso	19979,NOUN,SINGULAR
encanto	19896,NOUN,VERB,SINGULAR
inglesa	19754,NOUN,ADJECTIVE,SINGULAR
volando	19751,ADJECTIVE,VERB,INFLECTED_FORM,PRES_PART
federal	19620,ADJECTIVE,NOUN,SINGULAR
fachada	19591,NOUN,PARTICIPLE,SINGULAR
doctora	19587,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
potente	19487,ADJECTIVE
cocinar	19375,VERB
armados	19371,ADJECTIVE,PARTICIPLE
regular	19149,ADJECTIVE,VERB
precisa	19145,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
perfume	19019,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
ocupada	18870,ADJECTIVE,PARTICIPLE
sincera	18826,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
dominar	18780,VERB
marcado	18772,ADJECTIVE,PARTICIPLE
recinto	18617,NOUN,SINGULAR
maestra	18425,NOUN,ADJECTIVE,SINGULAR
delgado	18299,ADJECTIVE
capilla	18243,NOUN,SINGULAR
crecido	18175,ADJECTIVE,PARTICIPLE
horario	18170,ADJECTIVE,NOUN,SINGULAR
ordenar	18165,VERB
caridad	18107,NOUN,SINGULAR
temblar	18072,VERB
marchar	18027,VERB
comidas	18005,ADJECTIVE,NOUN,PARTICIPLE,VERB,INFLECTED_FORM,PLURAL,SUBJ
decenas	17990,ADJECTIVE,NOUN,PLURAL
adentro	17987,ADVERB,NOUN,INTERJECTION,VERB,SINGULAR
portada	17880,NOUN,PARTICIPLE,SINGULAR
maldita	17868,ADJECTIVE,PARTICIPLE
dulzura	17853,NOUN,SINGULAR
cebolla	17841,NOUN,SINGULAR
conmigo	17767,ADVERB
aliados	17766,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
escoger	17761,VERB
balance	17709,NOUN,SINGULAR
secreta	17400,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
sobrino	17358,NOUN,SINGULAR
romanos	17325,ADJECTIVE,NOUN,PLURAL
rurales	17322,ADJECTIVE
delgada	17303,ADJECTIVE
tortura	17299,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
barrera	17293,NOUN,SINGULAR
ignorar	17281,VERB
relieve	17229,NOUN,SINGULAR
apetito	17208,NOUN,SINGULAR
ampliar	17205,VERB
poquito	17123,ADJECTIVE,ADVERB
monarca	17002,NOUN,SINGULAR
alejado	16996,ADJECTIVE,PARTICIPLE
liberar	16910,VERB
reparto	16902,NOUN,VERB,SINGULAR
anuales	16845,ADJECTIVE
salidas	16797,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
motores	16727,ADJECTIVE,NOUN,PLURAL
amantes	16712,ADJECTIVE,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
separar	16680,VERB
cargado	16641,ADJECTIVE,PARTICIPLE
crucial	16634,ADJECTIVE
volante	16616,ADJECTIVE,NOUN,SINGULAR
rescate	16541,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
desnudo	16536,ADJECTIVE,VERB
trasero	16533,ADJECTIVE,NOUN,SINGULAR
urgente	16462,ADJECTIVE
madurez	16444,NOUN,SINGULAR
influir	16349,VERB
griegos	16207,ADJECTIVE,NOUN,PLURAL
marcada	16177,ADJECTIVE,PARTICIPLE
futuros	16101,ADJECTIVE,NOUN,PLURAL
avenida	16071,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
experto	16031,ADJECTIVE,NOUN,SINGULAR
esclavo	16015,NOUN,SINGULAR
estadio	15995,NOUN,SINGULAR
narices	15991,ADVERB,NOUN,PLURAL
cortina	15904,NOUN,SINGULAR
vitales	15897,ADJECTIVE
deseado	15885,ADJECTIVE,PARTICIPLE
profeta	15862,NOUN,SINGULAR
viajero	15832,ADJECTIVE,NOUN,SINGULAR
virtual	15826,ADJECTIVE
valioso	15695,ADJECTIVE
exponer	15694,VERB
ingenio	15642,NOUN,VERB,SINGULAR
semilla	15627,NOUN,SINGULAR
cenizas	15555,ADJECTIVE,NOUN,PLURAL
cuartel	15496,NOUN,SINGULAR
corbata	15449,NOUN,SINGULAR
carpeta	15372,NOUN,SINGULAR
reparar	15326,VERB
futuras	15317,ADJECTIVE,NOUN,PLURAL
cautela	15287,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
comedia	15215,NOUN,SINGULAR
basadas	15197,ADJECTIVE,PARTICIPLE
previos	15196,ADJECTIVE
furiosa	15130,ADJECTIVE
creador	15113,NOUN,SINGULAR
extraer	15058,VERB
afueras	15050,NOUN,VERB,SINGULAR
revelar	15029,VERB
encargo	15026,NOUN,VERB,SINGULAR
retraso	14986,NOUN,VERB,SINGULAR
mandado	14982,NOUN,PARTICIPLE,SINGULAR
retirar	14869,VERB
previas	14794,ADJECTIVE
vientos	14794,ADVERB,INTERJECTION,NOUN,PLURAL
silueta	14791,NOUN,SINGULAR
disparo	14763,NOUN,VERB,SINGULAR
billete	14737,NOUN,SINGULAR
confuso	14736,ADJECTIVE
escasez	14600,NOUN,SINGULAR
juvenil	14595,ADJECTIVE
injusto	14533,ADJECTIVE
heridos	14508,ADJECTIVE,PARTICIPLE
reinado	14504,NOUN,PARTICIPLE,SINGULAR
censura	14459,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
agregar	14433,VERB
ideales	14403,ADJECTIVE,NOUN,VERB,IMP,INFLECTED_FORM,PLURAL
penales	14400,ADJECTIVE,NOUN,VERB,IMP,INFLECTED_FORM,PLURAL
maldito	14378,ADJECTIVE,INTERJECTION,NOUN,PARTICIPLE,SINGULAR
extensa	14358,ADJECTIVE
basados	14280,ADJECTIVE,PARTICIPLE
naranja	14259,ADJECTIVE,NOUN,SINGULAR
higiene	14214,NOUN,SINGULAR
salvado	14195,NOUN,PARTICIPLE,SINGULAR
amorosa	14148,ADJECTIVE
factura	14144,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
cuartos	14125,NOUN,ADJECTIVE,PLURAL
bestias	14122,ADJECTIVE,NOUN,PLURAL
nuclear	14036,ADJECTIVE,VERB
cosecha	14010,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
golpear	13950,VERB
teatral	13940,ADJECTIVE
nombrar	13823,VERB
portero	13730,NOUN,SINGULAR
pasados	13703,ADJECTIVE,PARTICIPLE
montaje	13702,NOUN,SINGULAR
nulidad	13486,NOUN,SINGULAR
gigante	13399,ADJECTIVE,NOUN,SINGULAR
auxilio	13349,NOUN,VERB,SINGULAR
abdomen	13337,NOUN,SINGULAR
muralla	13337,NOUN,SINGULAR
curiosa	13311,NOUN,ADJECTIVE,SINGULAR
gemelos	13289,ADJECTIVE,NOUN,PLURAL
sagrada	13255,ADJECTIVE
solemne	13192,ADJECTIVE
orgasmo	13179,NOUN,SINGULAR
callado	13177,ADJECTIVE,PARTICIPLE
cargada	13083,ADJECTIVE,PARTICIPLE
vegetal	13052,ADJECTIVE,NOUN,SINGULAR
diarios	13016,ADJECTIVE,NOUN,PLURAL
urbanos	13004,ADJECTIVE
pasadas	12965,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
nacidos	12900,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
sensual	12887,ADJECTIVE
ingesta	12769,NOUN,SINGULAR
saludar	12760,VERB
