tiempo	1498128,NOUN,SINGULAR
asunto	128719,NOUN,VERB,SINGULAR
bienes	128381,NOUN,ADJECTIVE,PLURAL
simple	126641,ADJECTIVE,NOUN,SINGULAR
propio	126313,ADJECTIVE
perder	125645,VERB
debido	124505,ADJECTIVE,PARTICIPLE
motivo	124261,NOUN,VERB,SINGULAR
acceso	123925,NOUN,VERB,SINGULAR
estilo	118275,NOUN,VERB,SINGULAR
madera	117347,NOUN,SINGULAR
normal	116691,ADJECTIVE,NOUN,SINGULAR
marcha	115933,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
segura	115767,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
juicio	114617,NOUN,SINGULAR
dormir	114075,VERB
piedra	113741,NOUN,SINGULAR
pareja	113584,NOUN,ADJECTIVE,SINGULAR
actual	111220,ADJECTIVE,NOUN,SINGULAR
hechos	111028,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
precio	107902,NOUN,VERB,SINGULAR
placer	106723,VERB,NOUN,SINGULAR
viento	106543,NOUN,VERB,SINGULAR
doctor	106127,NOUN,SINGULAR
cuarto	104898,ADJECTIVE,NOUN,SINGULAR
salida	104641,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
fuente	104122,NOUN,SINGULAR
crisis	103507,NOUN,SINGULAR
contar	103475,VERB
sonido	101839,NOUN,SINGULAR
menudo	101259,ADJECTIVE,NOUN,SINGULAR
ayudar	100389,VERB
fiesta	98589,NOUN,SINGULAR
altura	97856,NOUN,SINGULAR
unidad	97151,NOUN,SINGULAR
escena	95269,NOUN,SINGULAR
llamar	94807,VERB
vuelto	94072,NOUN,PARTICIPLE,SINGULAR
hombro	93905,NOUN,SINGULAR
sexual	93761,ADJECTIVE
sujeto	92764,ADJECTIVE,NOUN,VERB,SINGULAR
animal	91537,ADJECTIVE,NOUN,SINGULAR
sector	91219,NOUN,SINGULAR
tratar	89927,VERB,INF
blanca	89357,NOUN,ADJECTIVE,SINGULAR
buenos	89015,ADJECTIVE
blanco	86661,ADJECTIVE,NOUN,SINGULAR
lograr	86356,VERB
sombra	84906,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
visita	84796,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
verano	82351,NOUN,SINGULAR
novela	81690,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
abuela	80955,NOUN,SINGULAR
triste	80301,ADJECTIVE
empleo	80253,NOUN,VERB,SINGULAR
tienda	79629,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
oscuro	78688,ADJECTIVE
correr	78613,VERB,NOUN,SINGULAR
ataque	77951,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
bosque	77635,NOUN,SINGULAR
hambre	76230,NOUN,SINGULAR
actuar	76215,VERB
mental	76024,ADJECTIVE
buenas	75439,INTERJECTION,ADJECTIVE,NOUN,PLURAL
planta	74914,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
llorar	74614,VERB
aceite	73826,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
virtud	73273,NOUN,SINGULAR
abuelo	73106,NOUN,SINGULAR
chicos	72775,ADJECTIVE,NOUN,PLURAL
gracia	72377,NOUN,SINGULAR
contra	72189,PREPOSITION,NOUN,ADVERB,SINGULAR
ciento	71549,NOUN,SINGULAR
delito	70832,NOUN,SINGULAR
querer	69042,VERB,NOUN,SINGULAR
cuadro	68894,NOUN,VERB,SINGULAR
teatro	68346,NOUN,SINGULAR
salido	67896,ADJECTIVE,PARTICIPLE
pienso	67724,NOUN,VERB,SINGULAR
muerto	67296,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
inicio	67255,NOUN,VERB,SINGULAR
agosto	67172,NOUN,VERB,SINGULAR
lluvia	67164,NOUN,SINGULAR
espejo	66616,NOUN,SINGULAR
espera	66268,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
tercer	66049,ADJECTIVE
prensa	65643,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
diario	65636,ADJECTIVE,NOUN,SINGULAR
chicas	64506,ADJECTIVE,NOUN,PLURAL
quedar	64054,VERB
relato	63302,NOUN,VERB,SINGULAR
formar	62798,VERB
tomado	61563,ADJECTIVE,PARTICIPLE
agente	60972,NOUN,SINGULAR
camisa	60716,NOUN,SINGULAR
espada	60136,NOUN,SINGULAR
amplia	59901,ADJECTIVE
mezcla	58813,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
escala	58775,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
barrio	58436,NOUN,SINGULAR
servir	57616,VERB
elegir	57131,VERB
cadena	57089,NOUN,SINGULAR
lector	55722,ADJECTIVE,NOUN,SINGULAR
cuatro	55426,NUMERAL,NOUN,SINGULAR
global	55156,ADJECTIVE,NOUN,SINGULAR
factor	53247,NOUN,SINGULAR
amable	52963,ADJECTIVE
cerrar	52954,VERB
gloria	52769,NOUN,SINGULAR
puerto	51900,NOUN,SINGULAR
debate	51712,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
margen	51292,NOUN,SINGULAR
parque	51188,NOUN,SINGULAR
pierna	51100,NOUN,SINGULAR
minuto	50821,NOUN,SINGULAR
reales	50562,ADJECTIVE,NOUN,PLURAL
hierro	50466,NOUN,VERB,SINGULAR
templo	50012,NOUN,VERB,SINGULAR
puente	49834,NOUN,SINGULAR
libres	49453,ADJECTIVE,VERB,INFLECTED_FORM,SUBJ
amplio	49255,ADJECTIVE
locura	48925,NOUN,SINGULAR
sabido	48862,ADJECTIVE,PARTICIPLE
oferta	48312,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
perros	48222,ADJECTIVE,NOUN,PLURAL
esposo	48180,NOUN,VERB,SINGULAR
oficio	47675,NOUN,VERB,SINGULAR
regalo	47461,NOUN,VERB,IMP,INFLECTED_FORM,SINGULAR
viejos	47454,ADJECTIVE,NOUN,PLURAL
sufrir	47324,VERB
activa	47097,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
pecado	46560,NOUN,PARTICIPLE,SINGULAR
mierda	46249,NOUN,INTERJECTION,SINGULAR
vivido	45687,ADJECTIVE,PARTICIPLE
largas	45422,ADJECTIVE,VERB
oscura	44974,ADJECTIVE
luchar	44462,VERB
formal	44175,ADJECTIVE
graves	43856,ADJECTIVE,VERB,INFLECTED_FORM,SUBJ
famoso	43641,ADJECTIVE,NOUN,SINGULAR
previa	43490,NOUN,ADJECTIVE,SINGULAR
fiscal	43398,ADJECTIVE,NOUN,SINGULAR
pedido	42400,NOUN,PARTICIPLE,SINGULAR
verdes	42263,ADJECTIVE,NOUN,PLURAL
orilla	41974,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
cuesta	41972,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
entero	41687,ADJECTIVE,NOUN,VERB,SINGULAR
terror	41573,NOUN,SINGULAR
compra	41475,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
largos	41262,ADJECTIVE,NOUN,PLURAL
cuento	41213,NOUN,VERB,SINGULAR
abrazo	41127,NOUN,VERB,SINGULAR
alivio	41083,NOUN,VERB,SINGULAR
activo	41015,ADJECTIVE,NOUN,VERB,SINGULAR
previo	40818,ADJECTIVE
romper	40668,VERB
probar	40201,VERB
crecer	39865,VERB
perfil	39807,NOUN,SINGULAR
eficaz	39800,ADJECTIVE
mejora	39496,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
salvar	39463,VERB
alegre	39416,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
exceso	39325,NOUN,SINGULAR
patria	38776,NOUN,ADJECTIVE,SINGULAR
crimen	38738,NOUN,SINGULAR
correo	38502,NOUN,SINGULAR
examen	37967,NOUN,SINGULAR
viajar	37788,VERB
llegue	37310,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
vender	37275,VERB
asumir	37037,VERB
azules	36650,ADJECTIVE,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
dibujo	36326,NOUN,VERB,SINGULAR
idioma	35955,NOUN,SINGULAR
cuidar	35846,VERB
amante	35695,ADJECTIVE,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
brillo	35477,NOUN,VERB,SINGULAR
bonito	35177,ADJECTIVE,NOUN,SINGULAR
creado	35171,ADJECTIVE,PARTICIPLE
negros	34821,ADJECTIVE,NOUN,PLURAL
gritar	34819,VERB
afecta	34769,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
llenos	34756,ADJECTIVE
versos	34665,ADJECTIVE,NOUN,PLURAL
cierta	34229,ADJECTIVE,DETERMINER
moneda	34191,NOUN,SINGULAR
visual	34130,ADJECTIVE
pobres	34028,ADJECTIVE
dichas	33940,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
abrigo	33852,NOUN,VERB,SINGULAR
evento	33677,NOUN,SINGULAR
ensayo	33598,NOUN,VERB,SINGULAR
basada	33479,ADJECTIVE,PARTICIPLE
cuerda	33421,ADJECTIVE,NOUN,SINGULAR
hierba	33338,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
afecto	33277,ADJECTIVE,NOUN,VERB,SINGULAR
indios	33237,ADJECTIVE,NOUN,PLURAL
vistas	32965,ADJECTIVE,NOUN,PARTICIPLE,VERB,INFLECTED_FORM,PLURAL,SUBJ
cruzar	32777,VERB
avance	32776,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
alumno	32761,NOUN,SINGULAR
muerta	32480,ADJECTIVE,PARTICIPLE
anillo	31877,NOUN,VERB,SINGULAR
cubrir	31777,VERB
esfera	31776,NOUN,SINGULAR
citado	31528,ADJECTIVE,PARTICIPLE
cantar	30980,VERB,NOUN,SINGULAR
rastro	30853,NOUN,VERB,SINGULAR
divino	30839,ADJECTIVE,VERB
herida	30802,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
aparte	30755,ADJECTIVE,ADVERB,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
tejido	30733,NOUN,PARTICIPLE,SINGULAR
negras	30655,ADJECTIVE,NOUN,PLURAL
dichos	30643,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
horror	30444,NOUN,SINGULAR
ganado	29873,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
juzgar	29843,VERB
basado	29782,PARTICIPLE,ADJECTIVE,INTERJECTION
tronco	29763,NOUN,VERB,SINGULAR
bailar	29696,VERB
pasada	29624,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
acudir	29526,VERB
diablo	29521,NOUN,SINGULAR
basura	29447,NOUN,SINGULAR
puesta	29376,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
pelota	29333,NOUN,SINGULAR
manejo	29326,NOUN,VERB,SINGULAR
entera	29192,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
taller	29095,NOUN,SINGULAR
nacido	28853,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
divina	28402,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
fresco	28362,ADJECTIVE,NOUN,SINGULAR
acento	28269,NOUN,SINGULAR
llanto	28141,NOUN,SINGULAR
medias	27791,ADJECTIVE,NOUN,VERB,PLURAL
excusa	27735,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
tesoro	27719,NOUN,SINGULAR
bondad	27338,NOUN,SINGULAR
fiebre	27267,NOUN,SINGULAR
ocupar	27172,VERB
premio	27118,NOUN,VERB,SINGULAR
corona	27051,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
cierre	26993,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
enviar	26991,VERB
eterna	26960,ADJECTIVE
pasaje	26900,NOUN,SINGULAR
cortar	26561,VERB
saltar	26198,VERB
harina	26125,NOUN,SINGULAR
rutina	26017,NOUN,SINGULAR
eterno	26001,ADJECTIVE
famosa	25819,NOUN,ADJECTIVE,SINGULAR
diaria	25706,ADJECTIVE
limpio	25671,ADJECTIVE,VERB
verbal	25663,ADJECTIVE,NOUN,SINGULAR
obispo	25463,NOUN,VERB,SINGULAR
umbral	25003,NOUN,SINGULAR
bebida	24672,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
viejas	24559,ADJECTIVE,NOUN,PLURAL
pastor	24485,NOUN,SINGULAR
pintor	24464,NOUN,SINGULAR
saliva	24370,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
vecino	24352,NOUN,ADJECTIVE,SINGULAR
cumple	24081,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
apoyar	24056,VERB
montar	23951,VERB
tabaco	23905,NOUN,SINGULAR
bloque	23886,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
maleta	23856,NOUN,SINGULAR
tardes	23828,ADJECTIVE,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
romano	23812,ADJECTIVE,NOUN,SINGULAR
llenas	23637,ADJECTIVE,VERB
lejano	23457,ADJECTIVE
bonita	23318,ADJECTIVE
alarma	23300,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
agenda	23149,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
ligera	23139,ADJECTIVE
editor	23067,NOUN,SINGULAR
piedad	23060,NOUN,SINGULAR
causar	22945,VERB
metido	22934,ADJECTIVE,PARTICIPLE
bestia	22851,NOUN,ADJECTIVE,SINGULAR
genial	22716,ADJECTIVE
autora	22482,NOUN,SINGULAR
matado	22481,ADJECTIVE,PARTICIPLE
pesada	22337,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
nobles	22292,ADJECTIVE
anoche	22235,ADVERB
merced	22177,NOUN,SINGULAR
charla	22025,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
llenar	22015,VERB
trampa	21978,NOUN,SINGULAR
pesado	21961,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
mortal	21884,ADJECTIVE
saludo	21860,NOUN,VERB,SINGULAR
oculto	21795,ADJECTIVE,VERB
vidrio	21662,NOUN,VERB,SINGULAR
claras	21657,ADJECTIVE,NOUN,PLURAL
niebla	21634,NOUN,SINGULAR
ligero	21388,ADJECTIVE
timbre	21381,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
juntas	21353,ADJECTIVE,NOUN,VERB,PLURAL
huella	21316,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
colina	21285,NOUN,SINGULAR
unidos	21246,ADJECTIVE,PARTICIPLE
atacar	21207,VERB
planos	21118,ADJECTIVE,NOUN,PLURAL
olvido	21099,NOUN,VERB,SINGULAR
reunir	21088,VERB
reposo	20890,NOUN,VERB,SINGULAR
soltar	20865,VERB
herido	20847,ADJECTIVE,PARTICIPLE
piloto	20709,NOUN,VERB,SINGULAR
docena	20666,NOUN,ADJECTIVE,SINGULAR
urbano	20651,ADJECTIVE
portal	20575,NOUN,ADJECTIVE,SINGULAR
quitar	20559,VERB
parada	20403,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
fresca	20363,ADJECTIVE
claros	20316,ADJECTIVE,NOUN,PLURAL
hechas	20157,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
exilio	20026,NOUN,VERB,SINGULAR
pedazo	19990,NOUN,SINGULAR
cadera	19986,NOUN,SINGULAR
dorado	19929,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
adulto	19917,ADJECTIVE,NOUN,SINGULAR
abismo	19745,NOUN,VERB,SINGULAR
vencer	19694,VERB
lanzar	19660,VERB
rancho	19649,NOUN,VERB,SINGULAR
listas	19626,ADJECTIVE,NOUN,VERB,PLURAL
toalla	19417,NOUN,SINGULAR
escudo	19392,NOUN,VERB,SINGULAR
suceso	19286,NOUN,SINGULAR
tocado	19252,ADJECTIVE,INTERJECTION,NOUN,PARTICIPLE,SINGULAR
romana	19088,NOUN,ADJECTIVE,SINGULAR
amparo	19041,NOUN,VERB,SINGULAR
idiota	19039,ADJECTIVE,NOUN,SINGULAR
urbana	18924,ADJECTIVE
huelga	18794,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
regazo	18766,NOUN,VERB,SINGULAR
sueldo	18751,NOUN,VERB,SINGULAR
tutela	18619,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
griega	18549,NOUN,ADJECTIVE,SINGULAR
suaves	18518,ADJECTIVE
granja	18414,NOUN,SINGULAR
maldad	18312,NOUN,SINGULAR
ritual	18182,ADJECTIVE,NOUN,SINGULAR
casada	18159,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
pasear	18118,VERB
casado	18095,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
santos	18081,ADJECTIVE,NOUN,PLURAL
pintar	18073,VERB
falsas	17819,ADJECTIVE,VERB
exigir	17801,VERB
futura	17781,NOUN,ADJECTIVE,SINGULAR
peores	17779,ADJECTIVE,VERB,INFLECTED_FORM,SUBJ
guarda	17718,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
armado	17656,ADJECTIVE,PARTICIPLE
pastel	17630,NOUN,SINGULAR
cortos	17607,ADJECTIVE,NOUN,PLURAL
bronce	17566,NOUN,SINGULAR
desear	17459,VERB
poseer	17459,VERB
enlace	17385,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
receta	17298,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
cobrar	17250,VERB
griego	17160,ADJECTIVE,NOUN,SINGULAR
coraje	17050,NOUN,SINGULAR
hallar	17022,VERB
muelle	16989,ADJECTIVE,NOUN,SINGULAR
jueves	16974,NOUN,SINGULAR
mancha	16953,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
captar	16721,VERB
cargar	16650,VERB
armada	16480,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
comido	16414,ADJECTIVE,PARTICIPLE,VERB,INFLECTED_FORM,PAST_PART
oculta	16385,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
atraer	16348,VERB
fatiga	16292,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
cuarta	16267,NOUN,ADJECTIVE,SINGULAR
pulgar	16262,NOUN,SINGULAR
porche	16258,NOUN,SINGULAR
legado	16240,NOUN,PARTICIPLE,SINGULAR
gemido	16209,NOUN,PARTICIPLE,SINGULAR
anhelo	16167,NOUN,VERB,SINGULAR
dureza	16112,NOUN,SINGULAR
breves	16103,ADJECTIVE
flecha	16024,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
exacto	15976,ADJECTIVE,NOUN,ADVERB,SINGULAR
tercio	15854,ADJECTIVE,NOUN,VERB,SINGULAR
ajuste	15835,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
exacta	15796,ADJECTIVE
curvas	15693,ADJECTIVE,NOUN,VERB,PLURAL
ilegal	15615,ADJECTIVE,NOUN,SINGULAR
marcar	15607,VERB
citada	15595,ADJECTIVE,PARTICIPLE
adonde	15569,ADVERB
mandar	15486,VERB
cabina	15453,NOUN,SINGULAR
afuera	15396,ADVERB,INTERJECTION,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
postre	15388,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
vestir	15371,VERB
pelear	15208,VERB
veneno	15204,NOUN,SINGULAR
tomate	15202,NOUN,VERB,IMP,INFLECTED_FORM,SINGULAR
helado	15194,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
sabios	15187,ADJECTIVE,NOUN,PLURAL
dorada	15182,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
whisky	15155,NOUN,INTERJECTION,SINGULAR
adulta	15136,NOUN,ADJECTIVE,SINGULAR
surgir	15094,VERB
pureza	15083,NOUN,SINGULAR
brutal	15028,ADJECTIVE
limpia	15024,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
falsos	14971,ADJECTIVE
colega	14956,NOUN,SINGULAR
emitir	14924,VERB
pasivo	14909,ADJECTIVE,NOUN,SINGULAR
asalto	14845,NOUN,VERB,SINGULAR
gruesa	14795,NOUN,ADJECTIVE,SINGULAR
faltas	14782,NOUN,ADJECTIVE,VERB,PLURAL
firmes	14766,ADJECTIVE,VERB,INFLECTED_FORM,SUBJ
lienzo	14720,NOUN,SINGULAR
alerta	14691,ADJECTIVE,ADVERB,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
cartel	14690,NOUN,SINGULAR
grises	14677,ADJECTIVE,NOUN,PLURAL
manual	14652,ADJECTIVE,NOUN,SINGULAR
fieles	14631,ADJECTIVE
estima	14624,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
atento	14538,ADJECTIVE,VERB
firmar	14527,VERB
grasas	14510,ADJECTIVE,NOUN,PLURAL
parado	14439,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
borrar	14418,VERB
lidiar	14351,VERB
matriz	14303,NOUN,SINGULAR
escaso	14241,ADJECTIVE
ahorro	14235,NOUN,VERB,SINGULAR
deudor	14117,NOUN,SINGULAR
espuma	14069,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
listos	14066,ADJECTIVE
choque	13862,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
mentir	13857,VERB
nevera	13806,NOUN,SINGULAR
bordes	13642,ADJECTIVE,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
ajenos	13641,ADJECTIVE
debida	13636,ADJECTIVE,PARTICIPLE
retiro	13611,NOUN,VERB,SINGULAR
tomada	13576,ADJECTIVE,PARTICIPLE
bombas	13487,ADJECTIVE,NOUN,PLURAL
rencor	13420,NOUN,SINGULAR
patada	13368,NOUN,SINGULAR
martes	13326,NOUN,SINGULAR
playas	13272,ADJECTIVE,NOUN,PLURAL
robado	13239,ADJECTIVE,PARTICIPLE
pagado	13225,ADJECTIVE,PARTICIPLE
collar	13210,NOUN,SINGULAR
escasa	13195,ADJECTIVE
vulgar	13157,ADJECTIVE
lineal	13041,ADJECTIVE
suelta	12949,NOUN,ADJECTIVE,PARTICIPLE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
sierra	12923,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
actriz	12901,NOUN,SINGULAR
presos	12843,ADJECTIVE,NOUN,PLURAL
subido	12774,ADJECTIVE,PARTICIPLE
