siempre	1012426,ADVERB
cambios	134232,NOUN,PLURAL
piernas	133120,NOUN,PLURAL
cambiar	130178,VERB
semanas	130098,NOUN,PLURAL
destino	127505,NOUN,VERB,SINGULAR
mejores	127230,ADJECTIVE,VERB,INFLECTED_FORM,SUBJ
ventana	125673,NOUN,SINGULAR
humanos	125289,ADJECTIVE,NOUN,VERB,IMP,INFLECTED_FORM,PLURAL
capital	124992,ADJECTIVE,NOUN,SINGULAR
medidas	123658,NOUN,PARTICIPLE,PLURAL
pensaba	119288,VERB,3PS,INFLECTED_FORM
hubiese	118602,VERB,3PS,INFLECTED_FORM,SUBJ
importa	115712,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
lugares	115554,NOUN,PLURAL
mensaje	115157,NOUN,SINGULAR
obtener	113957,VERB
carrera	113569,NOUN,SINGULAR
partido	112933,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
ciencia	112488,NOUN,SINGULAR
quieres	112371,VERB
cerebro	111061,NOUN,SINGULAR
refiere	110190,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
actitud	110169,NOUN,SINGULAR
razones	109962,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
quedado	109918,PARTICIPLE
trataba	109292,VERB,3PS,INFLECTED_FORM
produce	108672,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
iglesia	108055,NOUN,SINGULAR
cuidado	105669,INTERJECTION,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
debemos	104987,VERB
propias	104072,ADJECTIVE
peligro	103919,NOUN,VERB,SINGULAR
llamado	103543,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
aparece	101747,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
empezar	99779,VERB,INF
quedaba	99771,VERB,3PS,INFLECTED_FORM
pruebas	99055,NOUN,VERB,PLURAL
vestido	97929,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
perdido	97595,ADJECTIVE,PARTICIPLE
negocio	97290,NOUN,VERB,SINGULAR
puertas	96834,NOUN,PLURAL
dientes	95957,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
pasando	95861,VERB,INFLECTED_FORM,PRES_PART
existen	95356,VERB
objetos	94330,NOUN,PLURAL
secreto	93794,ADJECTIVE,NOUN,VERB,SINGULAR
entorno	93760,NOUN,VERB,SINGULAR
parecer	93342,VERB,NOUN,SINGULAR
defensa	92972,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
recibir	92532,VERB
caballo	92256,NOUN,SINGULAR
llamada	91448,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
colores	90801,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
batalla	90252,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
lectura	90162,NOUN,SINGULAR
central	90093,ADJECTIVE,NOUN,SINGULAR
hablaba	89899,VERB,3PS,INFLECTED_FORM
derecha	89672,NOUN,ADJECTIVE,SINGULAR
octubre	89619,NOUN,SINGULAR
respeto	89437,NOUN,VERB,SINGULAR
oficial	89348,ADJECTIVE,NOUN,SINGULAR
cumplir	88564,VERB
niveles	88191,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
autores	87925,NOUN,PLURAL
pueblos	87524,NOUN,PLURAL
mayores	87238,ADJECTIVE,NOUN,PLURAL
laboral	87214,ADJECTIVE
dejando	86465,VERB,INFLECTED_FORM,PRES_PART
alumnos	86384,NOUN,PLURAL
oficina	86110,NOUN,SINGULAR
sabemos	85995,VERB
gustaba	85887,VERB,3PS,INFLECTED_FORM
cabello	85876,NOUN,SINGULAR
decirle	85566,VERB,INF
hacerse	85035,VERB,INF
cuerpos	84040,NOUN,PLURAL
muestra	82789,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
antiguo	82552,ADJECTIVE,VERB
belleza	82206,NOUN,SINGULAR
noticia	80890,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
consumo	80205,NOUN,VERB,SINGULAR
tuviera	79680,VERB,3PS,INFLECTED_FORM,SUBJ
militar	79605,ADJECTIVE,NOUN,VERB,SINGULAR
abierta	78733,ADJECTIVE,PARTICIPLE
mejorar	78727,VERB
nombres	78228,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
asiento	77939,NOUN,VERB,SINGULAR
maestro	77762,NOUN,ADJECTIVE,SINGULAR
aumento	77619,NOUN,VERB,SINGULAR
terreno	77580,ADJECTIVE,NOUN,SINGULAR
periodo	77036,NOUN,SINGULAR
comprar	76867,VERB
sentado	76386,ADJECTIVE,PARTICIPLE
recurso	75745,NOUN,SINGULAR
tierras	75730,NOUN,PLURAL
aceptar	75401,VERB
motivos	74418,NOUN,PLURAL
enemigo	73933,ADJECTIVE,NOUN,SINGULAR
implica	73694,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
directa	73591,NOUN,ADJECTIVE,SINGULAR
asuntos	73554,NOUN,PLURAL
pasillo	73246,NOUN,SINGULAR
acababa	72391,VERB,3PS,INFLECTED_FORM
impacto	72319,NOUN,VERB,SINGULAR
quieren	72218,VERB
febrero	72201,NOUN,SINGULAR
fuentes	72035,NOUN,PLURAL
preciso	71859,ADJECTIVE,VERB
intento	71608,NOUN,VERB,SINGULAR
cliente	71314,NOUN,SINGULAR
cuentas	70944,NOUN,VERB,PLURAL
inicial	70031,ADJECTIVE,NOUN,SINGULAR
volumen	69427,NOUN,SINGULAR
escapar	68814,VERB
alcance	68554,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
ponerse	68525,VERB,INF
demanda	68493,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
plantas	68391,NOUN,VERB,PLURAL
fuertes	68317,ADJECTIVE,NOUN,PLURAL
locales	67773,ADJECTIVE,NOUN,PLURAL
paredes	67722,NOUN,PLURAL
miembro	67604,NOUN,SINGULAR
popular	67025,ADJECTIVE,NOUN,SINGULAR
extremo	66731,ADJECTIVE,NOUN,VERB,SINGULAR
llegada	66727,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
parecen	66684,VERB
llamaba	66415,VERB,3PS,INFLECTED_FORM
pensado	66399,PARTICIPLE
querido	66322,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
capaces	66051,ADJECTIVE
hiciera	65400,VERB,3PS,INFLECTED_FORM,SUBJ
informe	64802,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
realiza	64778,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
caminar	64522,VERB
deseaba	64308,VERB,3PS,INFLECTED_FORM
aliento	63987,NOUN,VERB,SINGULAR
regreso	63907,NOUN,VERB,SINGULAR
hablado	63828,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
hermosa	63534,ADJECTIVE
similar	63523,ADJECTIVE
haberse	63473,VERB,INF
empieza	63169,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
explica	63148,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
colegio	62954,NOUN,VERB,SINGULAR
privado	62013,ADJECTIVE,PARTICIPLE
amistad	61996,NOUN,VERB,IMP,INFLECTED_FORM,SINGULAR
modelos	61946,NOUN,PLURAL
finales	61622,ADJECTIVE,NOUN,VERB,IMP,INFLECTED_FORM,PLURAL
agentes	61476,NOUN,PLURAL
depende	61109,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
riesgos	61032,NOUN,PLURAL
menores	60838,ADJECTIVE,NOUN,PLURAL
directo	60828,ADJECTIVE,NOUN,SINGULAR
detalle	60150,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
muertos	60088,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
partida	59843,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
centros	59744,NOUN,PLURAL
hacerle	59453,VERB,INF
utiliza	59386,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
palacio	58900,NOUN,SINGULAR
incluye	58784,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
pintura	58706,NOUN,SINGULAR
entidad	58575,NOUN,SINGULAR
mostrar	58441,VERB
reforma	58121,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
planeta	57890,NOUN,SINGULAR
tomando	57884,VERB,INFLECTED_FORM,PRES_PART
dominio	57858,NOUN,SINGULAR
vueltas	57854,NOUN,PARTICIPLE,PLURAL
permiso	57710,NOUN,INTERJECTION,VERB,SINGULAR
abierto	57269,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
esencia	57240,NOUN,SINGULAR
estados	57240,NOUN,PARTICIPLE,PLURAL
olvidar	56767,VERB
guardia	55931,NOUN,SINGULAR
hacemos	55877,VERB
maneras	55567,NOUN,PLURAL
llegaba	55556,VERB,3PS,INFLECTED_FORM
mundial	54968,ADJECTIVE,NOUN,SINGULAR
repente	54945,NOUN,SINGULAR
poderes	54776,NOUN,PLURAL
figuras	54576,NOUN,VERB,PLURAL
escrito	54203,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
piedras	54184,NOUN,PLURAL
fortuna	54035,NOUN,SINGULAR
equipos	53944,NOUN,PLURAL
enfoque	53628,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
cristal	53212,NOUN,SINGULAR
consejo	52993,NOUN,VERB,SINGULAR
revista	52761,NOUN,PARTICIPLE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
cintura	52495,NOUN,SINGULAR
esquina	52462,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
comunes	52340,ADJECTIVE,NOUN,PLURAL
tercera	52215,NOUN,ADJECTIVE,SINGULAR
soledad	52172,NOUN,SINGULAR
errores	51895,NOUN,PLURAL
sentada	51827,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
interna	51769,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
caminos	51756,NOUN,PLURAL
aplicar	51592,VERB
privada	51523,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
logrado	51323,ADJECTIVE,PARTICIPLE
puestos	51316,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
vecinos	51299,ADJECTIVE,NOUN,PLURAL
riqueza	51272,NOUN,SINGULAR
reducir	51120,VERB
actores	50847,NOUN,PLURAL
papeles	50839,NOUN,PLURAL
digital	50639,ADJECTIVE,NOUN,SINGULAR
orgullo	50492,NOUN,SINGULAR
adultos	50483,ADJECTIVE,NOUN,PLURAL
observa	50364,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
impulso	50338,NOUN,VERB,SINGULAR
sombras	50048,ADJECTIVE,NOUN,VERB,PLURAL
precios	49825,NOUN,PLURAL
zapatos	49538,NOUN,PLURAL
generar	49190,VERB
incapaz	48906,ADJECTIVE
interno	48779,ADJECTIVE,NOUN,VERB,SINGULAR
ofrecer	48695,VERB
botella	48565,NOUN,SINGULAR
amenaza	48249,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
miradas	48157,NOUN,PARTICIPLE,PLURAL
alcohol	48077,NOUN,SINGULAR
contaba	48055,VERB,3PS,INFLECTED_FORM
dijeron	48023,VERB,INFLECTED_FORM,PAST
mejilla	47904,NOUN,SINGULAR
abogado	47807,NOUN,PARTICIPLE,SINGULAR
contado	47565,ADJECTIVE,PARTICIPLE
postura	47526,NOUN,SINGULAR
contigo	47136,ADVERB
columna	47127,NOUN,SINGULAR
artista	47029,NOUN,SINGULAR
paisaje	46724,NOUN,SINGULAR
decidir	46351,VERB
hermoso	46148,ADJECTIVE
cerveza	45896,NOUN,SINGULAR
moverse	45123,VERB,INF
conozco	45083,VERB
escribe	45005,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
antigua	44673,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
intenso	44483,ADJECTIVE
visitar	44302,VERB
produjo	44107,VERB,3PS,INFLECTED_FORM,PAST
pobreza	43920,NOUN,SINGULAR
recoger	43725,VERB
expresa	43625,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
superar	43260,VERB
remedio	43056,NOUN,VERB,SINGULAR
moderna	43052,ADJECTIVE
cercano	42836,ADJECTIVE
combate	42761,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
anciano	42757,ADJECTIVE,NOUN,SINGULAR
delitos	42705,NOUN,PLURAL
propios	42570,ADJECTIVE
fracaso	42306,NOUN,VERB,SINGULAR
castigo	42117,NOUN,VERB,SINGULAR
intenta	41553,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
dejaron	41426,VERB,INFLECTED_FORM,PAST
rapidez	41048,NOUN,SINGULAR
acceder	40580,VERB
veremos	40540,VERB
existir	40527,VERB
tercero	40510,ADJECTIVE,NOUN,SINGULAR
promesa	40214,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
ventaja	40199,NOUN,SINGULAR
estando	39898,VERB,INFLECTED_FORM,PRES_PART
talento	39844,NOUN,SINGULAR
blancas	39702,ADJECTIVE
levanta	39596,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
seguido	39462,ADVERB,ADJECTIVE,PARTICIPLE
enfermo	39423,ADJECTIVE,NOUN,VERB,SINGULAR
jornada	39314,NOUN,SINGULAR
hallaba	39109,VERB,3PS,INFLECTED_FORM
ingreso	38905,NOUN,VERB,SINGULAR
domingo	38801,NOUN,SINGULAR
trabaja	38729,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
sujetos	38615,ADJECTIVE,NOUN,PLURAL
decirlo	38514,VERB,INF
vistazo	38501,NOUN,SINGULAR
definir	38464,VERB
haberlo	38449,VERB,INF
buscaba	38387,VERB,3PS,INFLECTED_FORM
pasaron	38317,VERB,INFLECTED_FORM,PAST
vuestra	38243,DETERMINER,PRONOUN
vuestro	38173,PRONOUN,DETERMINER
certeza	38029,NOUN,SINGULAR
confiar	38018,VERB
soldado	38011,NOUN,PARTICIPLE,SINGULAR
moderno	37954,ADJECTIVE
estatal	37828,ADJECTIVE
heridas	37764,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
mantuvo	37659,VERB,3PS,INFLECTED_FORM,PAST
suspiro	37498,NOUN,VERB,SINGULAR
aparato	37294,NOUN,VERB,SINGULAR
supongo	37230,VERB
testigo	37148,NOUN,SINGULAR
enormes	37001,ADJECTIVE
entrega	36987,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
atender	36900,VERB
gustado	36863,PARTICIPLE
comedor	36691,NOUN,SINGULAR
eventos	36690,NOUN,PLURAL
nervios	36679,NOUN,PLURAL
ofrecen	36609,VERB
dispone	36557,VERB,3PS,INFLECTED_FORM
legales	36491,ADJECTIVE,VERB,IMP,INFLECTED_FORM
incluir	36457,VERB
felices	36359,ADJECTIVE
avanzar	36351,VERB
aumenta	36304,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
perdida	36196,ADJECTIVE,PARTICIPLE
musical	35782,ADJECTIVE,NOUN,SINGULAR
sufrido	35770,ADJECTIVE,PARTICIPLE
cabezas	35729,NOUN,PLURAL
reflejo	35483,NOUN,VERB,SINGULAR
fiestas	35473,NOUN,PLURAL
casarse	35420,VERB,INF
rechazo	35408,NOUN,VERB,SINGULAR
quieras	35319,VERB,INFLECTED_FORM,SUBJ
hacerme	35037,VERB,INF
iguales	35003,ADJECTIVE,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
cerrada	34778,ADJECTIVE,PARTICIPLE
visitas	34713,NOUN,VERB,PLURAL
deporte	34711,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
propone	34661,VERB,3PS,INFLECTED_FORM
parejas	34632,ADJECTIVE,NOUN,PLURAL
escrita	34612,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
vientre	34577,NOUN,SINGULAR
jugando	34394,VERB,INFLECTED_FORM,PRES_PART
humanas	34308,ADJECTIVE,NOUN,VERB,PLURAL
intensa	34256,ADJECTIVE
querida	34230,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
guardar	34203,VERB
escolar	34147,ADJECTIVE,NOUN,VERB,SINGULAR
ejercer	33981,VERB
seguida	33827,ADJECTIVE,PARTICIPLE
civiles	33818,ADJECTIVE
afirmar	33781,VERB
parcial	33529,ADJECTIVE,NOUN,SINGULAR
lenguas	33491,NOUN,PLURAL
coronel	33400,NOUN,SINGULAR
asesino	33377,ADJECTIVE,NOUN,VERB,SINGULAR
sonidos	33363,NOUN,PLURAL
evaluar	33361,VERB
decirme	33277,VERB,INF
visible	33204,ADJECTIVE
adoptar	33136,VERB
entrado	33007,ADJECTIVE,PARTICIPLE
leyendo	32845,VERB,INFLECTED_FORM,PRES_PART
imperio	32843,NOUN,SINGULAR
termina	32810,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
reserva	32707,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
refugio	32688,NOUN,VERB,SINGULAR
jugador	32637,NOUN,SINGULAR
tiendas	32628,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
triunfo	32541,NOUN,VERB,SINGULAR
conduce	32439,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
ocurrir	32419,VERB
iniciar	32200,VERB
ocultar	31950,VERB
cuentan	31760,VERB
podamos	31760,VERB,FORM_OF,IMP,INFLECTED_FORM,PAST,SUBJ
colocar	31728,VERB
asombro	31658,NOUN,VERB,SINGULAR
entraba	31527,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
supiera	31447,VERB,3PS,INFLECTED_FORM,SUBJ
ataques	31376,VERB,NOUN,INFLECTED_FORM,PLURAL,SUBJ
alcanza	31365,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
acabado	31342,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
elevado	31330,ADJECTIVE,PARTICIPLE
esquema	31222,NOUN,SINGULAR
faltaba	31194,VERB,3PS,INFLECTED_FORM
cansado	31156,ADJECTIVE,PARTICIPLE
guerras	31123,NOUN,PLURAL
salario	31047,NOUN,VERB,SINGULAR
cuadros	30995,NOUN,PLURAL
curioso	30978,ADJECTIVE,NOUN,SINGULAR
tarjeta	30841,NOUN,SINGULAR
deberes	30756,NOUN,PLURAL
estabas	30670,VERB
encanta	30634,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
provoca	30593,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
elegido	30515,NOUN,PARTICIPLE,SINGULAR
propuso	30498,VERB,3PS,INFLECTED_FORM,PAST
simples	30398,ADJECTIVE,NOUN,PLURAL
viernes	30382,NOUN,SINGULAR
liberal	30366,ADJECTIVE,NOUN,SINGULAR
cercana	30342,ADJECTIVE
sienten	30299,VERB,FORM_OF,IMP,INFLECTED_FORM,SUBJ
prestar	30207,VERB
europea	30088,NOUN,ADJECTIVE,SINGULAR
ternura	29981,NOUN,SINGULAR
pistola	29957,NOUN,SINGULAR
admitir	29853,VERB
treinta	29852,NUMERAL
cerrado	29835,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
humedad	29752,NOUN,SINGULAR
conocen	29711,VERB
decirte	29704,VERB,INF
tratado	29704,NOUN,PARTICIPLE,SINGULAR
agujero	29506,NOUN,VERB,SINGULAR
notable	29486,ADJECTIVE
activos	29481,ADJECTIVE,NOUN,PLURAL
pasaban	29430,VERB
plantea	29369,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
suceder	29303,VERB
impedir	29219,VERB
permita	29062,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
usuario	29031,NOUN,SINGULAR
radical	28803,ADJECTIVE,NOUN,SINGULAR
sientes	28737,VERB,INFLECTED_FORM,SUBJ
caderas	28732,NOUN,PLURAL
situado	28662,ADJECTIVE,PARTICIPLE
cansada	28652,ADJECTIVE,PARTICIPLE
miraron	28611,VERB,INFLECTED_FORM,PAST
blancos	28555,ADJECTIVE,NOUN,PLURAL
pedirle	28502,VERB,INF
repetir	28466,VERB
relatos	28308,NOUN,PLURAL
suponer	28189,VERB
bosques	28164,NOUN,PLURAL
terapia	28158,NOUN,SINGULAR
archivo	28130,NOUN,VERB,SINGULAR
demonio	27993,NOUN,SINGULAR
procede	27941,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
milagro	27896,NOUN,SINGULAR
vuelven	27891,VERB
enviado	27847,NOUN,PARTICIPLE,SINGULAR
morales	27811,ADJECTIVE,NOUN,VERB,IMP,INFLECTED_FORM,PLURAL
bandeja	27766,NOUN,SINGULAR
dormido	27737,ADJECTIVE,PARTICIPLE
dijiste	27589,VERB,INFLECTED_FORM,PAST
armario	27554,NOUN,SINGULAR
llegara	27542,VERB,3PS,INFLECTED_FORM,SUBJ
externa	27443,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
piscina	27341,NOUN,SINGULAR
aquello	27268,PRONOUN,VERB
retrato	27208,NOUN,VERB,SINGULAR
decirse	27150,VERB,INF
asistir	27119,VERB
dejarlo	27076,VERB,INF
novelas	27042,NOUN,VERB,PLURAL
salvaje	26914,ADJECTIVE,NOUN,SINGULAR
cuentos	26913,NOUN,PLURAL
mandato	26906,NOUN,VERB,SINGULAR
europeo	26853,ADJECTIVE,NOUN,SINGULAR
alturas	26834,NOUN,PLURAL
muebles	26790,NOUN,PLURAL
paquete	26762,NOUN,SINGULAR
rostros	26718,NOUN,PLURAL
terraza	26716,NOUN,SINGULAR
pudiese	26674,VERB,3PS,INFLECTED_FORM,SUBJ
resumen	26619,NOUN,VERB,SINGULAR
compras	26533,NOUN,VERB,PLURAL
refiero	26495,VERB
rodilla	26430,NOUN,SINGULAR
dirigir	26369,VERB
mirarlo	26349,VERB,INF
saberlo	26290,VERB,INF
lateral	26288,ADJECTIVE,NOUN,SINGULAR
manejar	26242,VERB
soporte	26181,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
defecto	26126,NOUN,SINGULAR
sendero	26109,NOUN,SINGULAR
costado	26045,NOUN,PARTICIPLE,SINGULAR
sugiere	26040,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
canales	26037,NOUN,PLURAL
oscuras	25967,ADJECTIVE
consigo	25932,ADVERB,VERB
haberme	25921,VERB,INF
formato	25893,NOUN,SINGULAR
firmeza	25856,NOUN,SINGULAR
oscuros	25846,ADJECTIVE
celular	25842,ADJECTIVE,NOUN,SINGULAR
hiciste	25828,VERB,INFLECTED_FORM,PAST
colegas	25823,NOUN,PLURAL
monedas	25802,NOUN,PLURAL
pescado	25779,NOUN,PARTICIPLE,SINGULAR
sagrado	25738,ADJECTIVE
valorar	25720,VERB
importe	25621,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
elevada	25580,ADJECTIVE,PARTICIPLE
hacerte	25489,VERB,INF
dibujos	25469,NOUN,PLURAL
mentira	25454,NOUN,SINGULAR
vivimos	25445,VERB,INFLECTED_FORM,PAST
inmensa	25370,ADJECTIVE
abordar	25281,VERB
agencia	25218,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
cadenas	25125,NOUN,PLURAL
dejaban	25047,VERB
derrota	25006,NOUN,PARTICIPLE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
juicios	24988,NOUN,PLURAL
parezca	24949,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
inmenso	24927,ADJECTIVE
miraban	24927,VERB
limpiar	24853,VERB
estable	24780,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
extrema	24762,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
sesenta	24711,NUMERAL
alcalde	24699,NOUN,SINGULAR
detener	24665,VERB
leyenda	24537,NOUN,SINGULAR
mochila	24423,NOUN,SINGULAR
cultivo	24392,NOUN,VERB,SINGULAR
retorno	24366,NOUN,VERB,SINGULAR
situada	24333,ADJECTIVE,PARTICIPLE
mirarla	24324,VERB,INF
detiene	24251,VERB,3PS,INFLECTED_FORM
externo	24104,ADJECTIVE,VERB
revisar	24096,VERB
hicimos	24052,VERB,INFLECTED_FORM,PAST
